code,name,brand,categories,countries,energy_kcal,fat,sugar,protein,salt,integrity_score,risk_level
3700256725364,Détox Japonaise Détente,Palais des Thés,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, Green teas, Japanese green teas, en:herbal-teas",France,0.0,0.0,0.0,0.0,0.0,1.0,low
3700279306076,RÉCRÉ O'LÉ Goûter laitier Gourdes Saveur Biscuit 4x85g,"Goûter laitier, Mont Blanc, RÉCRÉ O'LÉ","Laits entiers concentrés,poudre de lait écrémé,sucre,amidon tranformé de maïs,amidon de maïs,gomme xanthane,arôme naturels,vitamine D, Desserts, en:Shelf stable desserts",France,105.0,3.4,12.0,2.9,0.12,0.766177876881369,high
3700286534028,Dream Tea,Mariage Frères,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, en:herbal-teas",France,1.0,0.0,0.0,0.1,0.0,0.9999986820563046,low
3700286553135,Thé Vert au Tibet,Mariage Frères,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, en:herbal-teas",France,0.0,0.0,0.0,0.0,0.0,1.0,low
3700292840090,Lécithine de soja,Boutique Nature,Dietary supplements,France,806.0,,,,,0.866554413634609,moderate
3700311864618,Pétales de blé goût chocolat,Tous les jours,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit-déjeuner non fourrées et non enrichies en vitamines et minéraux",France,394.0,3.9,26.0,8.1,0.14,0.8619800564533434,moderate
3700324436529,Thé vert Noël enchanté saveur agrumes & pain d'épices Bio,terre d\'oc,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Teas, en:herbal-teas",en:france,0.0,0.0,0.0,0.0,0.0,1.0,low
3700446415020,Complexe bruleur,,en:dietary-supplements,France,0.0,0.0,0.0,0.0,16.0,0.8179284021965826,moderate
3700472530216,Infusion Épicée Aromatisée Caramel Fruit de La Passion,Voyage des sens,"Plant-based foods and beverages, Beverages, Hot beverages, Plant-based beverages, Herbal teas, en:teas",en:france,1.0,0.0,0.0,0.1,0.0,1.0,low
3700496301076,Choco Smile,Country Farm,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales au chocolat,Céréales extrudées,Pétales de blé chocolatés,Céréales chocolatées pour petit déjeuner non fourrées mais enrichies en vitamines et minéraux",France,377.0,4.0,25.0,9.0,0.4,0.8515419495609752,moderate
3700590908249,ARTI SHOT formule +,,en:herbal-teas,France,0.0,0.0,0.0,0.0,,1.0,low
3700695211527,Sante Verte Toniphyt Boost 30+15 Comprimes,,en:vitamins,France,0.0,0.0,0.0,0.0,0.0,0.9965218844989051,low
3700790020642,Oméga 3,,en:dietary-supplements,"France, en:morocco",1.0,3.0,0.0,3.0,0.0,0.9729474985031813,low
3700790022714,Proti-pasra,Fenioux Nutrition,"Pates-proteinees,Pates-proteinees,Pâtes protéinées",en:France,370.0,4.7,2.4,60.0,2.2,0.9760456415508179,low
3700803900299,Psyllium blond bio,Asieco,"Plant-based foods and beverages, Plant-based foods, Cooking helpers, Psyllium, en:dietary-supplements",France,0.0,0.0,0.0,0.0,0.0,1.0,low
